namespace,cbb_err_msg
AUICUE0001,ID가 너무 짧습니다. ID를 6자 이상 입력해주세요.
AUICUE0002,ID가 너무 깁니다. ID를 10자 이내로 입력해주세요.
AUICUE0003,입력값의 길이가 적절하지 않습니다. 입력값의 길이를 확인해주세요.
AUICUE0004,문자 발송에 실패하였습니다. 다시 시도해주세요.
AUICUE0005,SMS 인증이 실패하였습니다. 다시 확인하시고 시도하여 주십시오. 상담원 연결은 고객센터 1588-1588번으로 연락바랍니다.\n
AUICUE0006,인증 상황이 없습니다. 인증을 신청 후 조회해주세요.
AUICUE0007,필수 입력 항목이 빠졌습니다. 필수 입력 항목을 확인해주세요.
AUICUE0008,이미 인증되었습니다.  
AUICUE0009,본 화면은 추가 인증절차가 필요합니다. 인증 메뉴로 이동합니다.
AUICUE0010,약관을 동의하시지 않았습니다. 약관 동의해주세요.
AUICUE0011,신분증 번호나 자릿수가 잘못되었습니다. 확인 후 다시 입력해주세요.
AUICUE0012,스태프의 상태가 퇴사인 경우, 정보를 변경할 수 없습니다.  
AUICUE0013,(0)에는 대문자 영문과 숫자만 입력 가능합니다. 입력 내용을 확인하십시오.
AUIDPE0001,현금거래가 아닌 경우, 오퍼레이션 계좌입력은 필수입니다. 입력된 오퍼레이션 값을 확인하십시오.
AUIDPE0002,상품설명서 및 약관에 동의하셔야만 거래를 계속할 수 있습니다.  
AUIDPE0003,수수료는 예약 일에 이체 처리시 출금계좌에서 같이 출금처리 됩니다.  
AUIDPE0004,상위 계좌로 바로 입금 처리되었습니다.  
AUIDPE0005,비밀번호 입력은 필수입니다. 비밀번호를 입력하세요.
AUIDPE0006,입금계좌번호 입력은 필수입니다.  
AUIDPE0007,해당사항 없음.  
AUIDPE0008,약관을 보신 후 약관 동의를 할 수 있습니다. 약관 보기를 누르십시오.
AUIDPE0009,입금계좌번호와 입금계좌명이 서로 다릅니다.  입금계좌의 소유자가 같은지 확인하십시요.
AUIDPE0010,전출부서와 전입부서가 같습니다. 전입부서를 다시 선택하여 주십시오.
AUIDPE0011,타관리부점에서 관리되는 계좌는 전출할 수 없습니다. 계좌를 다시 선택하여 주십시오.
AUIDPE0012,가상계좌는 전출할 수 없습니다. 계좌를 다시 선택하여 주십시오
AUIDPE0013,전출상태가 신청일 경우에만 승인 요청하실 수 있습니다. 전출상태를 확인하여 주십시오
AUIDPE0014,전출상태가 신청일 경우에만 취소 요청하실 수 있습니다. 전출상태를 확인하여 주십시오.
AUIDPE0015,전출신청 부서에서 전입승인을 할 수 없습니다. 승인가능 신청을 선택하여 주십시오.
AUIDPE0016,타부서의 전입을 승인할 수 없습니다. 승인 가능한 신청 건을 선택하여 주십시오.
AUIDPE0017,거래시간이 초과되었습니다. 다시 거래해주세요.
AUIDPE0018,전화번호가 잘못되었습니다. 11자리 전화번호를 다시 입력해주세요.
AUIDPE0019,카드 해제 오류 주카드는 해제할 수 없습니다
AUIDPE0020,최소 투자 금액 [(0)] 미만입니다.  금액을 확인하세요.
AUIDPE0021,카드를 찾을 수 없습니다. 카드번호 입력이 잘못되었습니다.
AUILNE0001,해당 건을 삭제하시려면, 아래 삭제 버튼을 눌러주세요. 해당 건을 삭제하시려면, 아래 삭제 버튼을 눌러주세요.
AUILNE0002,신청목록에서 대상을 선택해 주세요. 신청목록에서 대상을 선택해 주세요.
AUILNE0003,신청 구분을 입력하세요. 신청 구분을 입력하세요.
AUILNE0004,회전대출의 경우에만 대출금인출이 가능합니다.  
AUILNE0005,이번 회차 납부해야 할 이자/납부금이 존재하지 않습니다. 상환스케쥴을 확인하세요.
AUILNE0006,첨부된 파일이 없습니다 서류파일을 첨부하여 주십시오
AUILNE0007,첨부서류는 각 항목 별로 1개 이상이 되어야 합니다. 누락된 항목에 서류를 첨부하여 주십시오
